Time      Roll    Pitch   Yaw
120.76847 -3.5509 -1.7704 72.7184 
120.76847 -3.5616 -1.7085 72.6666 
120.76847 -3.6013 -1.6834 72.6444 
120.76848 -3.6494 -1.6541 72.6327 
120.76848 -3.6847 -1.6373 72.6230 
120.76848 -3.7601 -1.6190 72.6105 
120.76848 -3.8253 -1.6443 72.6257 
120.76848 -3.8292 -1.6760 72.6147 
120.76848 -3.8164 -1.7218 72.5538 
120.76848 -3.7791 -1.7859 72.4945 
120.76848 -3.6941 -1.7863 72.4678 
120.76848 -3.5698 -1.7791 72.4421 
120.76849 -3.4422 -1.8175 72.4405 
120.76849 -3.3365 -1.8485 72.4321 
120.76849 -3.2916 -1.9146 72.4245 
120.76849 -3.2578 -1.9691 72.4368 
120.76849 -3.2090 -2.0244 72.4416 
120.76849 -3.1423 -2.0929 72.4463 
120.76849 -3.0559 -2.1365 72.4370 
120.76849 -2.9331 -2.1455 72.3784 
120.76850 -2.7859 -2.1550 72.3287 
120.76850 -2.6490 -2.1767 72.2884 
120.76850 -2.5733 -2.2146 72.2608 
120.76850 -2.5264 -2.2716 72.2258 
120.76850 -2.3994 -2.3481 72.1828 
120.76850 -2.2169 -2.3966 72.1295 
120.76850 -1.9737 -2.4396 72.0589 
120.76850 -1.7517 -2.4504 72.0584 
120.76850 -1.5158 -2.5426 72.0260 
120.76851 -1.3148 -2.6322 71.9693 
120.76851 -1.0975 -2.7044 71.9236 
120.76851 -0.9229 -2.7341 71.8490 
120.76851 -0.7463 -2.7530 71.7678 
120.76851 -0.5583 -2.8163 71.7136 
120.76851 -0.3711 -2.9381 71.6847 
120.76851 -0.2090 -3.0294 71.7067 
120.76851 -0.0495 -3.1305 71.7494 
120.76851 0.0764 -3.2428 71.7534 
120.76852 0.2496 -3.3878 71.7460 
120.76852 0.4539 -3.4921 71.7123 
120.76852 0.6506 -3.5683 71.6558 
120.76852 0.8245 -3.6627 71.6367 
120.76852 1.0077 -3.7449 71.5996 
120.76852 1.1570 -3.8128 71.5750 
120.76852 1.2194 -3.8500 71.6023 
120.76852 1.2842 -3.8895 71.5970 
120.76853 1.3993 -3.9464 71.5754 
120.76853 1.5593 -3.9982 71.5586 
120.76853 1.6740 -4.0586 71.5095 
120.76853 1.6975 -4.0952 71.5062 
120.76853 1.7692 -4.1337 71.5163 
120.76853 1.8337 -4.1879 71.5087 
120.76853 1.8851 -4.2258 71.5075 
120.76853 1.9133 -4.2445 71.5299 
120.76853 1.9377 -4.2672 71.5454 
120.76854 1.9445 -4.2969 71.5570 
120.76854 1.9537 -4.3325 71.5632 
120.76854 1.9709 -4.3722 71.5773 
120.76854 1.9964 -4.4203 71.6033 
120.76854 1.9894 -4.4353 71.6401 
120.76854 2.0047 -4.4266 71.7203 
120.76854 1.9865 -4.3750 71.7843 
120.76854 1.9895 -4.3388 71.8423 
120.76854 1.9704 -4.3103 71.8836 
120.76855 1.9554 -4.2868 71.9508 
120.76855 1.9295 -4.2702 72.0215 
120.76855 1.9299 -4.2381 72.0995 
120.76855 1.9090 -4.2001 72.1755 
120.76855 1.8789 -4.1767 72.2440 
120.76855 1.8680 -4.1607 72.3137 
120.76855 1.8227 -4.1301 72.3820 
120.76855 1.8033 -4.0756 72.4482 
120.76856 1.7644 -4.0341 72.5255 
120.76856 1.6762 -3.9721 72.5442 
120.76856 1.4848 -3.8472 72.5968 
120.76856 1.2317 -3.7293 72.6792 
120.76856 0.9886 -3.6463 72.7476 
120.76856 0.7531 -3.6045 72.7567 
120.76856 0.4933 -3.5222 72.7838 
120.76856 0.2176 -3.4172 72.8095 
120.76856 -0.0773 -3.3082 72.8699 
120.76857 -0.3284 -3.2208 72.9278 
120.76857 -0.5977 -3.1792 72.9809 
120.76857 -0.8509 -3.0735 73.0187 
120.76857 -1.0945 -2.9280 73.0422 
120.76857 -1.3114 -2.8050 73.0586 
120.76857 -1.5200 -2.7009 73.0822 
120.76857 -1.7330 -2.6248 73.0996 
120.76857 -1.9366 -2.5236 73.1205 
120.76858 -2.1291 -2.4319 73.1323 
120.76858 -2.3096 -2.3370 73.1423 
120.76858 -2.4714 -2.2545 73.1560 
120.76858 -2.6393 -2.1686 73.1744 
120.76858 -2.7924 -2.0943 73.1825 
120.76858 -2.9409 -2.0074 73.1929 
120.76858 -3.0852 -1.9377 73.2008 
120.76858 -3.2092 -1.9001 73.2020 
120.76858 -3.2742 -1.8459 73.1667 
120.76859 -3.3585 -1.7846 73.1354 
120.76859 -3.4282 -1.7346 73.1207 
120.76859 -3.4694 -1.6725 73.0982 
120.76859 -3.4878 -1.6038 73.0485 
120.76859 -3.5206 -1.5534 72.9889 
120.76859 -3.5720 -1.5400 72.9455 
120.76859 -3.5959 -1.5094 72.9154 
120.76859 -3.6104 -1.4895 72.8717 
120.76859 -3.6455 -1.4935 72.8702 
120.76860 -3.6807 -1.5470 72.8416 
120.76860 -3.6994 -1.6054 72.7975 
120.76860 -3.6726 -1.6682 72.7755 
120.76860 -3.6077 -1.7116 72.7846 
120.76860 -3.4969 -1.7294 72.7505 
120.76860 -3.3570 -1.7331 72.7049 
120.76860 -3.2504 -1.7545 72.6755 
120.76860 -3.1632 -1.7880 72.6683 
120.76861 -3.0917 -1.8293 72.6680 
120.76861 -3.0129 -1.8964 72.6368 
120.76861 -2.9001 -1.9552 72.6083 
120.76861 -2.8365 -2.0083 72.6146 
120.76861 -2.7793 -2.0558 72.6052 
120.76861 -2.7055 -2.1037 72.5831 
120.76861 -2.5998 -2.1468 72.5357 
120.76861 -2.4720 -2.1796 72.4904 
120.76861 -2.3833 -2.2185 72.4487 
120.76862 -2.2851 -2.2544 72.4279 
120.76862 -2.1379 -2.3221 72.3582 
120.76862 -1.9277 -2.4121 72.2799 
120.76862 -1.6704 -2.4195 72.2783 
120.76862 -1.4356 -2.4709 72.2676 
120.76862 -1.2346 -2.5538 72.2075 
120.76862 -1.0249 -2.6255 72.1226 
120.76862 -0.8231 -2.6539 72.0346 
120.76862 -0.6493 -2.7061 71.9389 
120.76863 -0.4711 -2.7771 71.8970 
120.76863 -0.2730 -2.8998 71.8881 
120.76863 -0.1304 -2.9815 71.9159 
120.76863 0.0143 -3.1080 71.9217 
120.76863 0.0998 -3.1943 71.9274 
120.76863 0.2343 -3.3181 71.9204 
120.76863 0.4311 -3.4242 71.8781 
120.76863 0.6602 -3.4830 71.8311 
120.76864 0.8240 -3.5620 71.8099 
120.76864 0.9822 -3.6531 71.7778 
120.76864 1.1333 -3.7141 71.7556 
120.76864 1.2538 -3.7673 71.7554 
120.76864 1.3164 -3.8127 71.7549 
120.76864 1.4096 -3.8623 71.7475 
120.76864 1.4951 -3.9136 71.7567 
120.76864 1.6011 -3.9663 71.7314 
120.76864 1.7056 -4.0216 71.7171 
120.76865 1.8189 -4.0514 71.7125 
120.76865 1.8690 -4.0940 71.6956 
120.76865 1.8903 -4.1283 71.6922 
120.76865 1.9384 -4.1238 71.6821 
120.76865 1.9646 -4.1458 71.6741 
120.76865 2.0067 -4.1601 71.6817 
120.76865 2.0394 -4.1927 71.7077 
120.76865 2.0381 -4.2200 71.7316 
120.76865 2.0307 -4.2521 71.7823 
120.76866 2.0281 -4.2571 71.8305 
120.76866 2.0400 -4.2309 71.9102 
120.76866 2.0311 -4.1779 71.9817 
120.76866 2.0214 -4.1651 72.0465 
120.76866 2.0083 -4.1644 72.0973 
120.76866 1.9809 -4.1566 72.1563 
120.76866 1.9503 -4.1372 72.2217 
120.76866 1.9277 -4.1072 72.3053 
120.76867 1.9047 -4.0795 72.3851 
120.76867 1.8846 -4.0697 72.4734 
120.76867 1.8468 -4.0607 72.5483 
120.76867 1.8019 -4.0474 72.6058 
120.76867 1.7776 -4.0016 72.6694 
120.76867 1.7361 -3.9430 72.7450 
120.76867 1.6618 -3.8872 72.7778 
120.76867 1.4567 -3.7891 72.8227 
120.76867 1.1843 -3.6673 72.9016 
120.76868 0.9056 -3.5923 72.9514 
120.76868 0.6281 -3.5084 72.9851 
120.76868 0.3682 -3.4364 72.9940 
120.76868 0.0917 -3.3420 73.0253 
120.76868 -0.1908 -3.2526 73.0807 
120.76868 -0.4560 -3.1911 73.1486 
120.76868 -0.6921 -3.1064 73.1987 
120.76868 -0.9481 -3.0139 73.2245 
120.76868 -1.1878 -2.8716 73.2405 
120.76869 -1.4237 -2.7461 73.2368 
120.76869 -1.6552 -2.6257 73.2330 
120.76869 -1.8673 -2.5130 73.2466 
120.76869 -2.0916 -2.3955 73.2791 
120.76869 -2.2791 -2.2939 73.2830 
120.76869 -2.4375 -2.1858 73.2781 
120.76869 -2.6150 -2.0961 73.2740 
120.76869 -2.7785 -1.9949 73.2714 
120.76870 -2.9433 -1.8969 73.2564 
120.76870 -3.0821 -1.8373 73.2336 
120.76870 -3.1902 -1.7911 73.2176 
120.76870 -3.2678 -1.7413 73.1755 
120.76870 -3.3565 -1.6569 73.1593 
120.76870 -3.4334 -1.5988 73.1095 
120.76870 -3.5020 -1.5740 73.0760 
120.76870 -3.5507 -1.5378 73.0551 
120.76870 -3.6013 -1.5014 73.0224 
120.76871 -3.6474 -1.4769 73.0138 
120.76871 -3.7065 -1.4682 73.0026 
120.76871 -3.7548 -1.4638 72.9950 
120.76871 -3.7981 -1.4606 72.9759 
120.76871 -3.7990 -1.4661 72.9538 
120.76871 -3.7751 -1.4863 72.8875 
120.76871 -3.6959 -1.5255 72.7883 
120.76871 -3.6110 -1.5401 72.7487 
120.76872 -3.4979 -1.5561 72.7627 
120.76872 -3.3801 -1.5786 72.7757 
120.76872 -3.3145 -1.6186 72.7723 
120.76872 -3.2635 -1.6677 72.7930 
120.76872 -3.2100 -1.7184 72.7861 
120.76872 -3.1483 -1.7508 72.7801 
120.76872 -3.0497 -1.8243 72.7472 
120.76872 -2.9281 -1.8639 72.7099 
120.76872 -2.7996 -1.8889 72.6691 
120.76873 -2.7205 -1.9222 72.6350 
120.76873 -2.6465 -1.9644 72.6312 
120.76873 -2.5559 -2.0570 72.5920 
120.76873 -2.4670 -2.1222 72.5648 
120.76873 -2.3716 -2.1820 72.5250 
120.76873 -2.2579 -2.2145 72.4706 
120.76873 -2.0514 -2.2953 72.3734 
120.76873 -1.8563 -2.3663 72.3047 
120.76873 -1.6185 -2.3768 72.3042 
120.76874 -1.3772 -2.4197 72.2881 
120.76874 -1.1470 -2.5313 72.2267 
120.76874 -0.9648 -2.5838 72.1802 
120.76874 -0.7922 -2.6084 72.0870 
120.76874 -0.6146 -2.6378 72.0077 
120.76874 -0.4311 -2.7302 71.9481 
120.76874 -0.2526 -2.8746 71.9470 
120.76874 -0.1080 -2.9492 72.0068 
120.76875 0.0594 -3.0285 72.0490 
120.76875 0.2055 -3.1415 72.0328 
120.76875 0.3527 -3.2693 72.0206 
120.76875 0.5457 -3.3484 71.9702 
120.76875 0.7586 -3.4048 71.9072 
120.76875 0.9526 -3.4834 71.8705 
120.76875 1.2248 3.8828 71.5337 
120.76875 1.3219 -2.8230 71.8280 
120.76875 1.4819 -2.9152 71.7989 
120.76876 1.6171 -2.9793 71.7878 
120.76876 1.7124 -3.0311 71.7979 
120.76876 1.8217 -3.1092 71.7859 
120.76876 1.9225 -3.1855 71.7586 
120.76876 2.0173 -3.2396 71.7468 
120.76876 2.1263 -3.2669 71.7184 
120.76876 2.2056 -3.3070 71.6920 
120.76876 2.2173 -3.3239 71.6774 
120.76876 2.2534 -3.3353 71.6571 
120.76877 2.2819 -3.3421 71.6486 
120.76877 2.3121 -3.3600 71.6540 
120.76877 2.3525 -3.3951 71.6515 
120.76877 2.3341 -3.4277 71.6858 
120.76877 2.3314 -3.4449 71.7495 
120.76877 2.3216 -3.4171 71.8225 
120.76877 2.2702 -3.4049 71.8982 
120.76877 2.2516 -3.3915 71.9434 
120.76878 2.2332 -3.3721 71.9696 
120.76878 2.1839 -3.3621 72.0352 
120.76878 2.1457 -3.3176 72.1411 
120.76878 2.1230 -3.2950 72.2051 
120.76878 2.1303 -3.2637 72.2715 
120.76878 2.1203 -3.2343 72.3188 
120.76878 2.1062 -3.1869 72.3848 
120.76878 2.1049 -3.1640 72.4369 
120.76878 2.0774 -3.1327 72.5047 
120.76879 2.0475 -3.0908 72.5708 
120.76879 1.9838 -3.0211 72.6061 
120.76879 1.8402 -2.9429 72.6237 
120.76879 1.6133 -2.8245 72.6917 
120.76879 1.3865 -2.7228 72.7510 
120.76879 1.1486 -2.6615 72.7832 
120.76879 0.8955 -2.6072 72.7926 
120.76879 0.6232 -2.5389 72.8276 
120.76879 0.3501 -2.4469 72.8534 
120.76880 0.0718 -2.3678 72.9104 
120.76880 -0.1872 -2.2946 72.9615 
120.76880 -0.4355 -2.2285 73.0150 
120.76880 -0.6739 -2.0962 73.0469 
120.76880 -0.9205 -1.9808 73.0293 
120.76880 -1.1709 -1.8596 73.0112 
120.76880 -1.3955 -1.7505 73.0390 
120.76880 -1.5922 -1.6296 73.0237 
120.76881 -1.7980 -1.5426 73.0353 
120.76881 -1.9987 -1.4495 73.0348 
120.76881 -2.1751 -1.3572 73.0489 
120.76881 -2.2722 -1.2931 73.0240 
120.76881 -2.4113 -1.2196 73.0128 
120.76881 -2.5877 -1.1369 73.0197 
120.76881 -2.7564 -1.0360 73.0282 
120.76881 -2.9014 -0.9520 73.0127 
120.76881 -3.0127 -0.8934 73.0067 
120.76882 -3.0734 -0.8390 72.9751 
120.76882 -3.1557 -0.7955 72.9171 
120.76882 -3.2289 -0.7260 72.9014 
120.76882 -3.2819 -0.6610 72.8471 
120.76882 -3.3059 -0.5892 72.7743 
120.76882 -3.3201 -0.5574 72.7070 
120.76882 -3.3659 -0.5296 72.6567 
120.76882 -3.4255 -0.5080 72.6078 
120.76883 -3.4373 -0.5220 72.6170 
120.76883 -3.4552 -0.5607 72.6193 
120.76883 -3.4443 -0.6392 72.5986 
120.76883 -3.4026 -0.7038 72.5774 
120.76883 -3.3163 -0.7564 72.6023 
120.76883 -3.1821 -0.7672 72.5801 
120.76883 -3.0513 -0.7639 72.5439 
120.76883 -2.9573 -0.7846 72.5204 
120.76883 -2.9323 -0.8521 72.5148 
120.76884 -2.9096 -0.9107 72.5245 
120.76884 -2.8450 -1.0055 72.5335 
120.76884 -2.7714 -1.0592 72.5319 
120.76884 -2.6352 -1.0929 72.5023 
120.76884 -2.4983 -1.1023 72.4554 
120.76884 -2.3733 -1.1150 72.4263 
120.76884 -2.2654 -1.1555 72.3994 
120.76884 -2.2092 -1.2317 72.3768 
120.76884 -2.1351 -1.3153 72.3395 
120.76885 -2.0656 -1.3753 72.3244 
120.76885 -1.9187 -1.4225 72.2657 
120.76885 -1.7236 -1.4876 72.1733 
120.76885 -1.5327 -1.5309 72.1091 
120.76885 -1.3087 -1.5574 72.1236 
120.76885 -1.1347 -1.6171 72.1026 
120.76885 -0.9838 -1.6919 72.0976 
120.76885 -0.8016 -1.7439 72.0644 
120.76886 -0.5942 -1.7990 71.9636 
120.76886 -0.4259 -1.8482 71.8771 
120.76886 -0.2152 -1.9353 71.7913 
120.76886 0.0052 -2.0901 71.7960 
120.76886 0.1333 -2.1599 71.8628 
120.76886 0.2924 -2.2482 71.8713 
120.76886 0.4659 -2.3872 71.8447 
120.76886 0.6513 -2.5090 71.8082 
